label	premise	hypothesis	prompt1si	prompt1en	prompt2si	prompt2en	few3_1	expl_preds	expl
entailment	Na pojav raka: Kajenje je lahko nevaren dejavnik za razvoj raka dojke, raka materničnega vratu ter prostate.	Kajenje povzroča več vrst raka tako na dojkah in materničnem vratu pri ženskah kot na prostati pri moških.	entailment	entailment	entailment	entailment	entailment	entailment	Izjava je v skladu s podanim stavkom, saj omenja iste vrste raka, ki jih povzroča kajenje, kot so navedene v stavku.
entailment	Spečemo, narežemo na poševne kocke, jih damo na krožnik in prelijemo z govejo juho.	Postavimo na vroče olje, nasesekljamo na enakovredne dele, jih prestavimo na krožnik in polijemo z juho na osnovi govedine.	neutral	neutral	contradiction	contradiction	contradiction	neutral	Izjava vsebuje podobne korake kot izvirna izjava, vendar se ne ujema v vseh podrobnostih, zato je nevtralna.
neutral	Kandidat se lahko vpiše na podiplomski program za pridobitev doktorata znanosti med magistrskim študijem, če ima opravljene vse izpite magistrskega študija s povprečno oceno najmanj 8 in priporočilo mentorja.	Študentje drugostopenjskega študija imajo možnost vpisa na doktorat znanosti že v času študija, pogoj za vpis je povprečna ocena vseh opravljenih predmetov nad 8,0 na prvi in drugi stopnji.	entailment	contradiction	entailment	neutral	entailment	contradiction	Izjava je v nasprotju s podanim stavkom, saj za vpis na doktorat znanosti med magistrskim študijem ni potrebno imeti povprečne ocene vseh opravljenih predmetov nad 8,0 na prvi in drugi stopnji.
neutral	Med moje naloge sodi tudi polnjenje polic in naročanje izdelkov .	Trgovina mora imeti vedno prave količine izdelkov in skrbeti, da so ti na voljo.	entailment	entailment	entailment	entailment	entailment	entailment	"Izjava ""Trgovina mora imeti vedno prave količine izdelkov in skrbeti, da so ti na voljo."" je v skladu s stavkom ""Med moje naloge sodi tudi polnjenje polic in naročanje izdelkov."" Ker je izjava v skladu s stavkom, je izjava potrjena."
neutral	Če pa avtomobil podkrmari (hitrejša rotacija), ESP zavre zadnje zunanje kolo.	Mokre ceste lahko privedejo do sunkovitega vrtenja avta, kar ESP prepreči z zmanjšanjem hitrosti zadnjih koles.	entailment	entailment	entailment	entailment	entailment	entailment	Izjava je v skladu z izjavo v stavku, saj obe izjavi govorita o tem, kako ESP preprečuje vrtenje zadnjih koles avtomobila.
entailment	Mogoče bi bilo vse drugače, če bi drugače začela.	Morda bi bila v primeru drugačnega začetka celotna situacija drugačna.	entailment	entailment	entailment	neutral	entailment	entailment	"Izjava ""Morda bi bila v primeru drugačnega začetka celotna situacija drugačna."" je v skladu s prvotno izjavo, saj obe izjavi govorita o možnosti, da bi se situacija spremenila, če bi bilo nekaj drugače."
entailment	Pri čelnih trkih se je izkazalo, da so pri trku otroci, ki sedijo obrnjeni v nasprotno smer vožnje, manj obremenjeni kot pa otroci, ki sedijo v smeri vožnje.	Vse kaže, da v primeru čelnega trčenja slabše odnesejo otroci, katerih stolček je obrnjen v smer vožnje, kot pa otroci, ki so obrnjeni s hrbtom proti vozniku.	entailment	contradiction	entailment	entailment	entailment	contradiction	Izjava vprašanja trdi nasprotno od podane izjave v stavku, saj pravi, da otroci, katerih stolček je obrnjen v smer vožnje, slabše odnesejo v primeru čelnega trčenja.
neutral	PRESAJANJE Ko korenine povsem napolnijo lonček, rastlino kadar koli presadimo v številko večjo posodo.	PRESAJANJE SPOMLADI Običajno rastline spomladi presadimo v večji lonček, saj takrat najbolj zrastejo.	entailment	entailment	entailment	entailment	entailment	contradiction	"Izjava ""PRESAJANJE SPOMLADI Običajno rastline spomladi presadimo v večji lonček, saj takrat najbolj zrastejo."" je v nasprotju z izjavo v prvem stavku, saj prva izjava navaja, da se rastlino presadi v večjo posodo, ko korenine povsem napolnijo lonček, medtem ko druga izjava navaja, da se rastline spomladi presadijo v večji lonček, saj takrat najbolj zrastejo."
neutral	“Dvomim, da vem kaj več kakor vi,“ je odvrnila Teodora.	Teodora je v pogovoru izrazila dvom, da sama ve več o tematiki gojenja rastlin kot njen sogovorec.	neutral	entailment	neutral	entailment	entailment	contradiction	"Izjava ""Dvomim, da vem kaj več kakor vi"" nakazuje, da Teodora ne ve več o tematiki gojenja rastlin kot njen sogovorec, zato je izjava ""Teodora je v pogovoru izrazila dvom, da sama ve več o tematiki gojenja rastlin kot njen sogovorec"" v nasprotju s prvotno izjavo."
neutral	Ozrl se je okrog sebe, kod da se bo strop vsak čas zrušil.	Pripeljala sem ga v staro stavbo, da bi videla njegovo reakcijo.	neutral	neutral	neutral	neutral	neutral	neutral	"Izjava ""Pripeljala sem ga v staro stavbo, da bi videla njegovo reakcijo."" ne nasprotuje izjavi ""Ozrl se je okrog sebe, kod da se bo strop vsak čas zrušil."", saj ne izključuje možnosti, da je oseba, ki jo je pripeljala v staro stavbo, opazila nevarnost, ki jo je opisala v drugi izjavi."
